Date,MAXR
2013-07-16,69.800003
2013-07-17,69.800003
2013-07-18,69.800003
2013-07-19,69.800003
2013-07-22,69.800003
2013-07-23,69.800003
2013-07-24,70.870003
2013-07-25,70.870003
2013-07-26,70.870003
2013-07-29,70.870003
2013-07-30,77.230003
2013-07-31,75.059998
2013-08-01,76.690002
2013-08-02,76.690002
2013-08-05,76.690002
2013-08-06,76.690002
2013-08-07,76.690002
2013-08-08,76.690002
2013-08-09,76.690002
2013-08-12,78.709999
2013-08-13,77.57
2013-08-14,78.25
2013-08-15,77.66999799999999
2013-08-16,78.059998
2013-08-19,77.589996
2013-08-20,77.589996
2013-08-21,77.589996
2013-08-22,77.589996
2013-08-23,77.589996
2013-08-26,74.66999799999999
2013-08-27,74.66999799999999
2013-08-28,74.66999799999999
2013-08-29,74.66999799999999
